央视频道,#genre#
天津卫视,http://221.232.105.149:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
浙江卫视,http://221.232.105.149:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
重庆卫视,http://221.232.105.149:35455/itv/1000000005000265017.m3u8?cdn=ystenlive

安徽卫视,http://221.232.105.149:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://221.232.105.149:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
安徽卫视,http://221.232.105.149:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
北京卫视,http://221.232.105.149:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京卫视,http://221.232.105.149:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
东方卫视,http://221.232.105.149:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
东方卫视,http://221.232.105.149:35455/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://221.232.105.149:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
东南卫视,http://221.232.105.149:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
东南卫视,http://221.232.105.149:35455/itv/5000000004000010584.m3u8?cdn=bestzb
甘肃卫视,http://221.232.105.149:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://221.232.105.149:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://221.232.105.149:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广东卫视,http://221.232.105.149:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广西卫视,http://221.232.105.149:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://221.232.105.149:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://221.232.105.149:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://221.232.105.149:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://221.232.105.149:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://221.232.105.149:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://221.232.105.149:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
黑龙江卫视,http://221.232.105.149:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
湖北卫视,http://221.232.105.149:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://221.232.105.149:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖北卫视,http://221.232.105.149:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖南卫视,http://221.232.105.149:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南卫视,http://221.232.105.149:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://221.232.105.149:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
吉林卫视,http://221.232.105.149:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://221.232.105.149:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://221.232.105.149:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江苏卫视,http://221.232.105.149:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江西卫视,http://221.232.105.149:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
江西卫视,http://221.232.105.149:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
辽宁卫视,http://221.232.105.149:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
辽宁卫视,http://221.232.105.149:35455/itv/5000000004000011671.m3u8?cdn=bestzb
青海卫视,http://221.232.105.149:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://221.232.105.149:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://221.232.105.149:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
山东卫视,http://221.232.105.149:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
深圳卫视,http://221.232.105.149:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
深圳卫视,http://221.232.105.149:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://221.232.105.149:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
四川卫视,http://221.232.105.149:35455/itv/5000000004000006119.m3u8?cdn=bestzb
天津卫视,http://221.232.105.149:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
天津卫视,http://221.232.105.149:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://221.232.105.149:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
云南卫视,http://221.232.105.149:35455/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://221.232.105.149:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://221.232.105.149:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
浙江卫视,http://221.232.105.149:35455/itv/5000000004000007275.m3u8?cdn=bestzb
重庆卫视,http://221.232.105.149:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://221.232.105.149:35455/itv/1000000005000265017.m3u8?cdn=ystenlive

安徽卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226943/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0QmKQ_slRCwvVVUUfxPVbw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
北京卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东方卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226898/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0uh4lyjjBCCN7TCq21vSIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226991/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EQ6F5Mjgs0tJyEArWFL3vQA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
甘肃卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227003/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ESco1zinvdUYzleEkXYhIvA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
广东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226961/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2MGyx659D_aaDPP0qt3NgA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
广西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227010/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkAhb-89sxdm9fz6-heXCuw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
贵州卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227012/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnqBF03rFwPucF8ODtWxLQQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
海南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227029/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEuBMjt2kLMD8fAO7QYER7Q%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
河北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227014/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ErSGjhI3DMaaAASPrbQJYTg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
